"CITY","STABBR","ACCREDAGENCY","SCH_DEG","HCM2","PREDDEG","HIGHDEG","CONTROL","REGION","LOCALE","LATITUDE","LONGITUDE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","RELAFFIL","ADM_RATE","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG"
"Flagstaff","AZ","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,6,"13",2194,284,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chandler","AZ","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,6,"21",1309,329,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prescott","AZ","Southern Association of Colleges and Schools Commission on Colleges","3",0,3,4,2,6,"41",1983,441,"22","14","10","0","0","0","0","0","0","0","0","0",NA,1073,74,81,69,74,NA,NA,124,121,NA,14,16,14,16,14,15,NA,NA,13,15,15,NA,235
"Phoenix","AZ","Higher Learning Commission","3",0,3,4,2,6,"11",1410,413,"20","7","6","0","0","0","0","0","0","0","0","0","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albuquerque","NM","Accrediting Bureau of Health Education Schools","1",0,1,2,3,6,"11",2138,212,"10","4","2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phoenix","AZ","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,6,"11",1390,419,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles","CA","Middle States Commission on Higher Education","2",0,2,2,2,8,"11",1807,889,"12","4","1","0","0","0","0","0","0","0","0","0",NA,1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Diego","CA","Council on Occupational Education","1",0,1,1,2,8,"11",1100,575,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Centro","CA","Council on Occupational Education","1",0,1,1,2,8,"13",1157,508,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colton","CA","Council on Occupational Education","1",0,1,1,2,8,"21",1786,640,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watsonville","CA","Council on Occupational Education","1",0,1,1,2,8,"13",2746,1113,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salinas","CA","Council on Occupational Education","1",0,1,1,2,8,"12",2679,1104,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Compton","CA","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","2",0,2,2,1,8,"21",1594,827,"5","1","3","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Francisco","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","2",0,2,3,3,8,"11",2996,1265,"30","15","6","0","0","0","0","0","0","0","0","0",NA,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irvine","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","2",0,2,3,3,8,"11",1468,712,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Diego","CA",NA,"3",0,3,3,3,8,"11",1147,589,"30","7","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Francisco","CA",NA,"3",0,3,4,3,8,"11",2991,1267,"30","7","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monterey","CA","New England Commission on Higher Education","3",0,3,4,2,8,"22",2667,1125,"18","11","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alameda","CA",NA,"3",0,3,4,3,8,"21",2994,1206,"22","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlsbad","CA",NA,"1",0,2,2,3,8,"12",1271,627,"13","3","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Ana","CA","Higher Learning Commission","3",0,4,4,2,8,"11",1515,711,"31","0","18","0","0","0","0","0","0","0","0","0","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irvine","CA",NA,"3",0,4,4,3,8,"11",1455,689,"31","0","18","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denver","CO","Accrediting Commission of Career Schools and Colleges","1",0,1,2,3,7,"11",3805,113,"11","4","2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colorado Springs","CO",NA,"2",0,2,3,3,7,"11",3433,95,"23","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thornton","CO","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,7,"21",3885,124,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Windsor","CT","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,1,"41",5370,1855,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hartford","CT","Middle States Commission on Higher Education","3",0,4,4,2,1,"12",5256,1875,"27","0","18","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","FL","Middle States Commission on Higher Education","3",0,3,4,2,5,"21",217,3467,"26","7","6","0","0","0","0","0","1","0","0","0",NA,1627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kissimmee","FL","Southern Association of Colleges and Schools Commission on Colleges","3",0,3,3,2,5,"21",444,3667,"24","11","8","0","0","0","0","0","0","0","0","0","48",1491,30,39,15,20,21,17,49,24,31,7,8,7,8,6,6,NA,NA,6,7,7,NA,443
"Royal Palm Beach","FL","Southern Association of Colleges and Schools Commission on Colleges","3",0,3,4,3,5,"21",346,3352,"26","7","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","FL","Higher Learning Commission","3",0,3,4,2,5,"21",180,3486,"22","5","6","0","0","0","0","0","1","0","0","0","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","FL",NA,"1",0,1,1,3,5,"21",191,3426,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sarasota","FL",NA,"3",0,3,4,3,5,"21",360,3969,"17","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ocala","FL","Higher Learning Commission","2",0,3,3,3,5,"13",500,3897,"22","5","12","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morrow","GA","Council on Occupational Education","1",0,1,2,3,5,"21",1411,4377,"7","4","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlanta","GA","Higher Learning Commission","2",0,3,4,2,5,"11",1507,4403,"20","7","6","0","1","0","0","0","0","0","0","0",NA,1352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Urbana","IL","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,3,"13",4081,5148,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quincy","IL","Higher Learning Commission","3",0,1,1,2,3,"33",3903,5563,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hanover Park","IL","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,3,"21",5399,5136,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chicago","IL","Western Association of Schools and Colleges Senior Colleges and University Commission","3",0,4,4,2,3,"11",5343,4964,"26","0","18","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chicago","IL",NA,"3",0,3,4,3,3,"11",5340,4936,"17","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melrose Park","IL","Accrediting Commission of Career Schools and Colleges","1",0,1,2,3,3,"21",5358,5040,"11","4","2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rockford","IL","Accrediting Commission of Career Schools and Colleges","1",0,1,2,3,3,"12",5535,5237,"8","2","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indianapolis","IN","Accrediting Commission of Career Schools and Colleges","2",0,2,2,3,3,"11",3866,4682,"7","4","1","0","0","0","0","0","0","0","0","0",NA,1564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lafayette","IN","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,3,"13",4217,4843,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merrillville","IN",NA,"3",1,2,3,3,3,"21",5056,4884,"14","11","6",NA,NA,NA,NA,NA,"NU",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indianapolis","IN","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,3,"11",3720,4688,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Bend","IN",NA,"3",1,1,3,3,3,"12",5209,4721,"23","11","6",NA,NA,NA,NA,NA,"NU",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kokomo","IN",NA,"1",0,1,1,3,3,"13",4273,4700,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mason City","IA","Higher Learning Commission","3",0,2,4,3,4,"33",6031,5782,"22","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cedar Rapids","IA","Higher Learning Commission","3",0,2,4,3,4,"12",5382,5587,"22","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Topeka","KS","Higher Learning Commission","1",0,1,1,1,4,"12",3476,6142,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Overland Park","KS","Higher Learning Commission","3",0,3,4,2,4,"12",3414,5968,"22","7","6","0","0","0","0","0","0","0","0","0","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Louisville","KY",NA,"3",1,2,3,3,5,"11",3115,4646,"14","11","9",NA,NA,NA,NA,NA,"NU",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Louisville","KY","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,5,"21",3143,4630,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elizabethtown","KY","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,5,"13",2951,4668,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Louisville","KY","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,5,"11",3118,4665,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florence","KY","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,5,"21",3459,4500,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lafayette","LA","Accrediting Commission of Career Schools and Colleges","1",0,1,2,2,5,"12",698,5617,"8","4","1","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lewiston","ME","Higher Learning Commission","3",0,3,4,3,1,"13",6194,1598,"22","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hagerstown","MD","Higher Learning Commission","3",0,3,4,3,2,"22",3722,2965,"22","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boston","MA","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,1,"11",5634,1651,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somerville","MA","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,1,"21",5661,1669,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambridge","MA","Middle States Commission on Higher Education","3",0,1,4,2,1,"12",5655,1697,"30","10","6","0","0","0","0","0","0","0","0","0",NA,1498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cadillac","MI","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,3,"33",6203,4587,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ann Arbor","MI","Higher Learning Commission","3",0,3,4,2,3,"12",5551,4223,"22","13","8","0","0","0","0","0","0","0","0","0","68",278,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,11,11,12,8,12,NA,NA,9,11,11,NA,85
"Madison Heights","MI","Council on Occupational Education","1",0,1,1,3,3,"21",5729,4111,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Paul","MN",NA,"3",0,4,4,2,4,"21",6340,5757,"24","0","18","0","0","0","0","0","0","0","0","0","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rochester","MN","Higher Learning Commission","1",0,1,4,2,4,"12",6171,5700,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagan","MN",NA,"3",0,2,4,3,4,"13",6282,5762,"26","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Louis Park","MN","Higher Learning Commission","2",0,2,3,2,4,"21",6321,5822,"26","5","6","0","0","0","0","1","0","0","0","0",NA,1074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roseville","MN",NA,"2",0,2,3,3,4,"21",6331,5756,"23","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bloomington","MN","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,4,"13",6278,5807,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson","MS","Accrediting Commission of Career Schools and Colleges","1",0,2,2,3,5,"41",981,5386,"10","3","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grenada","MS","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,5,"41",1522,5318,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butte","MT","Northwest Commission on Colleges and Universities","3",0,2,2,1,7,"33",6431,445,"8","2","2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lincoln","NE","Higher Learning Commission","3",0,3,4,3,4,"11",4661,6257,"22","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papillion","NE","Western Association of Schools and Colleges Senior Colleges and University Commission","3",0,3,3,2,4,"41",4866,6198,"24","11","8","0","0","0","0","0","0","0","0","0","48",257,18,8,43,46,NA,NA,10,75,NA,7,8,7,7,6,8,NA,NA,6,7,8,NA,451
"Omaha","NE",NA,"3",0,3,4,3,4,"11",4965,6194,"22","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curtis","NE","Higher Learning Commission","3",0,2,2,1,4,"43",4397,6,"13","3","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henderson","NV","Accrediting Council for Independent Colleges and Schools","3",1,3,3,3,8,"11",2457,482,"30","7","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Concord","NH","New England Commission on Higher Education","3",0,4,4,1,1,"31",6047,1785,"31","0","18","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manchester","NH","New England Commission on Higher Education","3",0,3,3,1,1,"12",5928,1764,"21","13","6","0","0","0","0","0","0","0","0","0",NA,586,66,63,56,51,46,45,100,91,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134
