"CITY","STABBR","ACCREDAGENCY","SCH_DEG","LOCALE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","HCM2","PREDDEG","HIGHDEG","CONTROL","REGION","LATITUDE","LONGITUDE"
"Evergreen","AL","Council on Occupational Education","1","41","8","2","1","0","0","0","0","0","0","0","0","0",0,1,2,1,5,894,4851
"Mobile","AL","Southern Association of Colleges and Schools Commission on Colleges","1","12","8","2","3","1","0","0","0","0","0","0","0","0",0,1,2,1,5,844,5112
"Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges","3","21","17","14","14","0","0","0","0","0","0","0","0","0",0,3,4,2,5,1356,4813
"Tuscaloosa","AL","Southern Association of Colleges and Schools Commission on Colleges","2","12","7","2","3","1","0","0","0","0","0","0","0","0",0,2,2,1,5,1268,4920
"Boaz","AL","Southern Association of Colleges and Schools Commission on Colleges","2","32","2","2","2","0","0","0","0","0","0","0","0","0",0,2,2,1,5,1896,4709
"Mobile","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","16","13","16","0","0","0","0","0","0","0","0","0",0,3,4,1,5,846,5143
"Mobile","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","21","12","11","0","0","0","0","0","0","0","0","0",0,3,4,2,5,845,5138
"Tuscaloosa","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","21","15","8","1","0","0","0","0","0","0","0","0",0,3,3,2,5,1287,4922
"Talladega","AL","Southern Association of Colleges and Schools Commission on Colleges","3","32","21","11","8","1","0","0","0","0","0","0","0","0",0,3,3,2,5,1335,4695
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","1","12","7","2","2","1","0","0","0","0","0","0","0","0",0,1,2,1,5,987,4749
"Troy","AL","Southern Association of Colleges and Schools Commission on Colleges","3","33","18","7","15","0","0","0","0","0","0","0","0","0",0,3,4,1,5,926,4676
"Tuskegee","AL","Southern Association of Colleges and Schools Commission on Colleges","3","32","19","10","14","1","0","0","0","0","0","0","0","0",0,3,4,2,5,1022,4649
"Daphne","AL","Southern Association of Colleges and Schools Commission on Colleges","3","13","32","5","6","0","0","0","0","0","0","0","0","0",0,3,4,2,5,835,5065
"Jasper","AL","Southern Association of Colleges and Schools Commission on Colleges","2","32","8","2","3","0","0","0","0","0","0","0","0","0",0,2,2,1,5,1568,4877
"Anchorage","AK","Northwest Commission on Colleges and Universities","3","11","18","5","15","0","0","0","0","0","0","0","0","0",0,3,4,1,8,6636,1406
"Palmer","AK","Association for Bibical Higher Educaiton","3","32","24","10","8","0","0","0","0","0","0","0","0","0",0,3,3,2,8,6638,1403
"Fairbanks","AK","Northwest Commission on Colleges and Universities","3","23","16","5","13","0","0","1","0","0","0","0","0","0",0,3,4,1,8,6639,1402
"Juneau","AK","Northwest Commission on Colleges and Universities","3","33","19","5","9","0","0","1","0","0","0","0","0","0",0,3,4,1,8,6631,1401
"Anchorage","AK","Northwest Commission on Colleges and Universities","3","11","20","7","7","0","0","0","0","0","0","1","0","0",0,3,4,2,8,6637,1405
"Seward","AK","Council on Occupational Education","1","43","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,1,8,6633,1404
"Vancouver","WA","Accrediting Bureau of Health Education Schools","1","12","23","10","9","0","0","0","0","0","0","0","0","0",0,1,4,3,8,6414,1292
"Anchorage","AK","Accrediting Commission of Career Schools and Colleges","1","11","13","4","1","0","0","0","0","0","0","0","0","0",0,1,2,3,8,6635,1407
"Phoenix","AZ","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","1","11","10","4","2","0","0","0","0","0","0","0","0","0",0,1,2,3,6,1399,414
"Flagstaff","AZ","Accrediting Commission of Career Schools and Colleges","2","13","26","10","6","0","0","1","0","0","0","1","0","0",0,2,3,2,6,2193,291
"Tucson","AZ","National Accrediting Commission of Career Arts and Sciences","1","11","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,6,965,261
"Phoenix","AZ","Accrediting Bureau of Health Education Schools","1","11","26","5","6","0","0","0","0","0","0","0","0","0",0,1,4,3,6,1404,412
"Tempe","AZ","Higher Learning Commission","3","12","15","15","16","0","0","0","0","0","0","0","0","0",0,3,4,1,6,1330,368
"Yuma","AZ","Higher Learning Commission","1","13","1","1","3","0","0","0","0","0","1","0","0","0",0,1,2,1,6,1090,473
"Tucson","AZ","Higher Learning Commission","3","11","15","11","15","0","0","0","0","0","1","0","0","0",0,3,4,1,6,961,270
"Tucson","AZ","Higher Learning Commission","3","11","30","11","6","0","0","0","0","0","0","0","0","0",0,3,4,3,6,968,267
"Coolidge","AZ","Higher Learning Commission","1","41","2","1","3","0","0","0","0","0","1","0","0","0",0,1,2,1,6,1247,288
"Lake Havasu City","AZ","National Accrediting Commission of Career Arts and Sciences","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,6,1963,468
"Sierra Vista","AZ","Higher Learning Commission","2","13","9","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,6,901,258
"Mesa","AZ","National Accrediting Commission of Career Arts and Sciences","1","11","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,6,1311,327
"Thatcher","AZ","Higher Learning Commission","1","33","6","1","3","0","0","0","0","0","0","0","0","0",0,1,2,1,6,1197,253
"Scottsdale","AZ","Higher Learning Commission","3","41","30","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,6,1430,319
"Glendale","AZ","Higher Learning Commission","1","21","2","1","5","0","0","0","0","0","1","0","0","0",0,1,2,1,6,1408,432
"Phoenix","AZ","Higher Learning Commission","3","11","17","5","15","0","0","0","0","0","0","0","0","0",0,3,4,3,6,1376,424
"Phoenix","AZ","Higher Learning Commission","1","11","8","1","3","0","0","0","0","0","1","0","0","0",0,1,2,1,6,1344,388
"Mesa","AZ","Higher Learning Commission","2","11","2","1","5","0","0","0","0","0","1","0","0","0",0,2,2,1,6,1315,333
"Kingman","AZ","Higher Learning Commission","2","41","5","1","2","0","0","0","0","0","0","0","0","0",0,2,2,1,6,2229,463
"Phoenix","AZ","Accrediting Commission of Career Schools and Colleges","1","11","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,6,1465,422
"Tsaile","AZ","Higher Learning Commission","2","43","33","7","9","0","0","0","1","0","0","0","0","0",0,2,3,1,6,2604,249
"Flagstaff","AZ","Higher Learning Commission","3","13","16","11","16","0","0","0","0","0","0","0","0","0",0,3,4,1,6,2189,289
"Holbrook","AZ","Higher Learning Commission","1","41","9","1","2","0","0","0","0","0","0","1","0","0",0,1,2,1,6,2069,256
"Phoenix","AZ","Higher Learning Commission","2","11","5","1","4","0","0","0","0","0","1","0","0","0",0,2,2,1,6,1364,407
"Tucson","AZ","Higher Learning Commission","1","11","1","1","5","0","0","0","0","0","1","0","0","0",0,1,2,1,6,956,263
"Tucson","AZ","Accrediting Bureau of Health Education Schools","1","11","26","10","9","0","0","0","0","0","0","0","0","0",0,1,3,3,6,966,265
"Prescott","AZ","Higher Learning Commission","3","13","20","13","7","0","0","0","0","0","0","0","0","0",0,3,4,2,6,1971,444
"Phoenix","AZ","Accrediting Commission of Career Schools and Colleges","1","11","11","4","2","0","0","0","0","0","0","0","0","0",0,1,2,3,6,1343,387
"Tempe","AZ","Higher Learning Commission","1","12","9","1","4","0","0","0","0","0","0","0","0","0",0,1,2,1,6,1326,383
"Phoenix","AZ","Accrediting Commission of Career Schools and Colleges","1","11","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,6,1349,406
"Scottsdale","AZ","Higher Learning Commission","2","41","3","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,6,1375,342
"Phoenix","AZ","Higher Learning Commission","2","11","2","1","3","0","0","0","0","0","1","0","0","0",0,2,2,1,6,1313,396
"Phoenix","AZ","Higher Learning Commission","3","11","22","11","7","0","0","0","0","0","0","0","0","0",0,3,3,2,6,1426,395
"Avondale","AZ","Accrediting Commission of Career Schools and Colleges","1","22","11","4","2","0","0","0","0","0","0","0","0","0",0,2,2,3,6,1347,435
"Prescott","AZ","Higher Learning Commission","1","13","6","1","3","0","0","0","0","0","0","0","0","0",0,1,2,1,6,1974,442
"Little Rock","AR","Higher Learning Commission","3","12","16","9","12","0","0","0","0","0","0","0","0","0",0,3,4,1,5,2010,5665
"Little Rock","AR","Higher Learning Commission","3","12","25","7","10","0","0","0","0","0","0","0","0","0",0,3,4,1,5,2025,5659
"Little Rock","AR","Higher Learning Commission","2","12","23","11","8","1","0","0","0","0","0","0","0","0",1,2,3,2,5,2015,5654
"Little Rock","AR","National Accrediting Commission of Career Arts and Sciences","1","12","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,1993,5669
"Russellville","AR","Accrediting Commission of Career Schools and Colleges","1","33","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2231,5749
"Batesville","AR","Higher Learning Commission","3","33","21","14","8","0","0","0","0","0","0","0","0","0",0,3,3,2,5,2383,5578
"North Little Rock","AR","Accrediting Commission of Career Schools and Colleges","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2030,5651
"Fort Smith","AR","National Accrediting Commission of Career Arts and Sciences","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2260,5928
"Fayetteville","AR","Higher Learning Commission","3","13","15","15","16","0","0","0","0","0","0","0","0","0",0,3,4,1,5,2485,5902
"Pine Bluff","AR","Higher Learning Commission","3","13","22","10","11","1","0","0","0","0","0","0","0","0",0,3,4,1,5,1918,5614
"Beebe","AR","Higher Learning Commission","1","31","5","2","3","0","0","0","0","0","0","0","0","0",0,1,2,1,5,2122,5603
"Jonesboro","AR","Higher Learning Commission","3","13","16","9","13","0","0","0","0","0","0","0","0","0",0,3,4,1,5,2400,5497
"Russellville","AR","Higher Learning Commission","3","33","18","10","13","0","0","0","0","0","0","0","0","0",0,3,4,1,5,2234,5750
"Monticello","AR","Higher Learning Commission","1","33","19","10","10","0","0","0","0","0","0","0","0","0",0,1,4,1,5,1424,5596
"Jacksonville","AR","National Accrediting Commission of Career Arts and Sciences","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2061,5636
"Little Rock","AR","Accrediting Bureau of Health Education Schools","2","12","10","4","2","0","0","0","0","0","0","0","0","0",0,2,2,2,5,2007,5676
"Pocahontas","AR","Higher Learning Commission","1","41","4","2","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,2593,5519
"Conway","AR","Higher Learning Commission","3","13","17","13","13","0","0","0","0","0","0","0","0","0",0,3,4,1,5,2124,5694
"Conway","AR","Higher Learning Commission","3","13","22","11","7","0","0","0","0","0","0","0","0","0",0,3,3,2,5,2126,5689
"De Queen","AR","Higher Learning Commission","1","41","6","1","2","0","0","0","0","0","1","0","0","0",0,1,2,1,5,1721,5916
"Paragould","AR","Higher Learning Commission","3","41","22","10","8","0","0","0","0","0","0","0","0","0",0,3,3,2,5,2479,5490
"Forrest City","AR","Higher Learning Commission","1","32","3","1","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,2104,5511
"Little Rock","AR","Accrediting Bureau of Health Education Schools","1","12","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2028,5667
"North Little Rock","AR","National Accrediting Commission of Career Arts and Sciences","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2046,5647
"Hot Springs","AR","Higher Learning Commission","2","23","7","2","2","0","0","0","0","0","0","0","0","0",0,2,2,1,5,1968,5747
"Batesville","AR","Higher Learning Commission","1","33","7","2","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,2390,5576
"Searcy","AR","Higher Learning Commission","3","32","17","14","14","0","0","0","0","0","0","0","0","0",0,3,4,2,5,2220,5588
"Arkadelphia","AR","Higher Learning Commission","3","32","19","13","11","0","0","0","0","0","0","0","0","0",0,3,4,1,5,1834,5740
"Conway","AR","Higher Learning Commission","3","13","21","14","11","0","0","0","0","0","0","0","0","0",0,3,4,2,5,2135,5687
"Hot Springs","AR","National Accrediting Commission of Career Arts and Sciences","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,1965,5737
"Pine Bluff","AR","Accrediting Bureau of Health Education Schools","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,2,5,1885,5613
"Siloam Springs","AR","Higher Learning Commission","3","32","19","15","11","0","0","0","0","0","0","0","0","0",0,3,4,2,5,2576,5946
"Springdale","AR","National Accrediting Commission of Career Arts and Sciences","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2566,5889
"Fort Smith","AR","National Accrediting Commission of Career Arts and Sciences","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2262,5930
"West Memphis","AR","Higher Learning Commission","1","21","3","1","2","0","1","0","0","0","0","0","0","0",0,1,2,1,5,2163,5408
"Blytheville","AR","Higher Learning Commission","1","41","9","1","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,2413,5331
"North Little Rock","AR","Accrediting Commission of Career Schools and Colleges","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2035,5649
"Harrison","AR","Higher Learning Commission","1","33","4","2","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,2592,5743
"Springdale","AR","Council on Occupational Education","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,1,5,2573,5887
"Arkadelphia","AR","Higher Learning Commission","3","32","22","12","11","0","0","0","0","0","0","0","0","0",0,3,3,2,5,1831,5738
"Malvern","AR","Higher Learning Commission","1","31","9","1","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,1945,5725
"Melbourne","AR","Higher Learning Commission","1","43","8","2","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,2476,5604
"Clarksville","AR","Higher Learning Commission","3","33","22","10","8","0","0","0","0","0","0","0","0","0",0,3,3,2,5,2288,5828
"Morrilton","AR","Higher Learning Commission","1","32","4","2","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,2179,5722
"Little Rock","AR","Higher Learning Commission","3","12","22","10","8","1","0","0","0","0","0","0","0","0",0,3,3,2,5,2020,5652
"Helena","AR","Higher Learning Commission","1","41","6","1","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,1973,5491
"Pine Bluff","AR","Higher Learning Commission","1","13","1","2","2","0","1","0","0","0","0","0","0","0",0,1,2,1,5,1901,5618
"El Dorado","AR","National Accrediting Commission of Career Arts and Sciences","1","33","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,1291,5715
"North Little Rock","AR","Higher Learning Commission","1","13","1","2","3","0","0","0","0","0","0","0","0","0",0,1,2,1,5,2043,5656
"Hope","AR","Higher Learning Commission","1","32","4","2","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,1442,5833
"Mena","AR","Higher Learning Commission","1","33","6","1","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,1976,5906
"Fayetteville","AR","National Accrediting Commission of Career Arts and Sciences","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2525,5893
"Searcy","AR","National Accrediting Commission of Career Arts and Sciences","1","32","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2214,5589
"N Little Rock","AR","Transnational Association of Christian Colleges and Schools","2","13","2","3","1","1","0","0","0","0","0","0","0","0",0,2,2,2,5,2034,5650
"Walnut Ridge","AR","Higher Learning Commission","3","42","21","13","8","0","0","0","0","0","0","0","0","0",0,3,3,2,5,2524,5517
"El Dorado","AR","Higher Learning Commission","1","33","5","2","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,1288,5716
"Magnolia","AR","Higher Learning Commission","3","33","18","12","14","0","0","0","0","0","0","0","0","0",0,3,4,1,5,1299,5780
"Camden","AR","Higher Learning Commission","1","42","9","2","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,1438,5720
"Little Rock","AR","National Accrediting Commission of Career Arts and Sciences","1","12","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,2016,5653
"Fort Smith","AR","Higher Learning Commission","3","13","22","11","12","0","0","0","0","0","0","0","0","0",0,3,4,1,5,2264,5921
"San Francisco","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","11","18","5","12","0","0","0","0","0","0","0","0","0",0,3,4,3,8,2998,1260
"Oakland","CA","Accrediting Commission for Acupuncture and Oriental Medicine","3","11","26","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,8,3018,1210
"Huntington Beach","CA","Accrediting Council for Continuing Education & Training","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,8,1489,765
"Alameda","CA","National Accrediting Commission of Career Arts and Sciences","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,8,2980,1187
"Alameda","CA","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","1","21","2","1","3","0","0","0","0","1","0","0","0","0",0,1,2,1,8,2992,1215
"Santa Maria","CA","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","2","12","2","1","4","0","0","0","0","0","1","0","0","0",0,2,2,1,8,2077,1025
"Berkeley","CA","Commission on Accrediting of the Association of Theological Schools","3","12","24","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,8,3040,1194
"Los Angeles","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","11","30","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,8,1826,876
"West Covina","CA","National Accrediting Commission of Career Arts and Sciences","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,8,1773,747
"Los Angeles","CA","Accrediting Bureau of Health Education Schools","1","11","10","4","2","0","0","0","0","0","0","0","0","0",0,1,2,3,8,1787,861
"San Francisco","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","1","11","30","0","6","0","0","0","0","0","0","0","0","0",0,1,4,2,8,2997,1263
"Sacramento","CA","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","1","21","4","1","5","0","0","0","0","1","0","0","0","0",0,1,2,1,8,3278,1081
"Lancaster","CA","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","2","21","14","5","12","0","0","0","0","0","1","0","0","0",0,2,2,1,8,1996,822
"Pasadena","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","12","30","13","9","0","0","0","0","0","0","0","0","0",0,3,4,2,8,1861,821
"Los Angeles","CA","Accrediting Commission of Career Schools and Colleges","1","11","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,8,1737,849
"San Diego","CA","Accrediting Commission of Career Schools and Colleges","1","11","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,8,1102,592
"Azusa","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","21","16","13","14","0","0","0","0","1","1","0","0","0",0,3,4,2,8,1836,727
"Bakersfield","CA","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","2","11","14","5","15","0","0","0","0","0","1","0","0","0",0,2,2,1,8,2271,951
"Barstow","CA","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","2","32","7","2","2","0","0","0","0","0","0","0","0","0",0,2,2,1,8,2058,555
"Chula Vista","CA","National Accrediting Commission of Career Arts and Sciences","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,8,1074,568
"Anaheim","CA","Transnational Association of Christian Colleges and Schools","3","11","24","10","6","0","0","0","0","1","0","0","0","0",0,3,4,2,8,1572,750
"La Mirada","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","21","17","13","14","0","0","0","0","0","0","0","0","0",0,3,4,2,8,1613,769
"Anaheim","CA","Accrediting Commission of Career Schools and Colleges","1","11","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,8,1560,731
"Tempe","AZ","Accrediting Commission of Career Schools and Colleges","2","12","26","11","9","0","0","0","0","0","0","0","0","0",0,2,3,3,6,1337,374
"Oroville","CA","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","2","42","7","2","4","0","0","0","0","0","1","0","0","0",0,2,2,1,8,3711,1102
"San Francisco","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","11","17","11","9","0","0","0","0","0","0","0","0","0",0,3,4,2,8,2985,1269
"Aptos","CA","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","2","22","1","1","4","0","0","0","0","0","1","0","0","0",0,2,2,1,8,2760,1128
"Riverside","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","11","18","13","13","0","0","0","0","0","1","0","0","0",0,3,4,2,8,1635,652
"San Francisco","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","11","30","13","10","0","0","0","0","0","0","0","0","0",0,3,4,2,8,2981,1259
"San Francisco","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","11","31","0","18","0","0","0","0","0","0","0","0","0",0,4,4,1,8,2993,1268
"Pasadena","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","12","15","14","11","0","0","0","0","0","0","0","0","0",0,3,4,2,8,1838,797
"Thousand Oaks","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","12","18","13","13","0","0","0","0","0","1","0","0","0",0,3,4,2,8,1907,950
"San Luis Obispo","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","3","23","18","14","16","0","0","0","0","0","0","0","0","0",0,3,4,1,8,2235,1040
"San Diego","CA","Western Association of Schools and Colleges Senior Colleges and University Commission","1","11","17","5","9","0","0","0","0","0","0","0","0","0",0,1,4,3,8,1217,572
